spine	title	claims	boundary
26	Bounded graded-boundary theorem	IC71-bounded-graded-boundary-kernel;IC72-bounded-graded-automatic-quotient	Requires dimension-lowering, positive-cell nonemptiness, and matching boundary profiles.
27	Standard finite simplicial-family theorem	IC73-standard-simplicial-incidence;IC74-simplicial-dimension-classification;IC75-simplicial-family-exact-quotient	Downward-closed decidable family of nonempty finite vertex sets with a chosen unit cell.
28	Categorical incidence-hypergraph representation	IC101-categorical-incidence-hypergraph;IC102-structured-hom-hypergraph-map;IC103-hypergraph-encoding-functoriality	Functorial only for boundary-preserving StructuredIncidenceHom maps; the encoding forgets role, sign, multiplicity, glue, resonance, guards, and type data.
29	Reversible chemical-reaction-network model	IC104-chemical-reaction-incidence;IC105-chemical-behavioral-classification;IC106-chemical-exact-descent;IC107-chemical-model-nontriviality	Structural finite Petri-net-style example only; no rate constants, mass-action kinetics, concentrations, dynamics, thermodynamics, or empirical validation are claimed.
30	Controlled-sum quotient natural isomorphism	IC108-sum-control-universal-factorization;IC109-sum-quotient-image-isomorphism;IC110-sum-quotient-natural-isomorphism	Objects must carry SumQuotientControlSpec; morphisms preserve both sum resonance and bisimulation. This is not an unconditional coproduct quotient theorem for arbitrary incidences.
31	Canonical bisimulation-congruence saturation	IC111-quotient-relation-presentation;IC112-quotient-relation-automatic-descent;IC113-bisimulation-resonance-saturation;IC114-bisimulation-saturation-minimality;IC115-bisimulation-saturation-closure;IC116-bisimulation-saturation-strict-witness	The construction changes only resonance, preserves the source boundary/type/glue behavioral quotient, and gives the least three-coordinate congruent extension; it is not a quotient Incidence construction on the quotient carrier.
32	Resonance-saturation reflection	IC117-resonance-extension-order;IC118-resonance-saturation-monotone;IC119-resonance-saturation-closure-operator;IC120-resonance-saturation-closed-characterization;IC121-resonance-saturation-reflection	This first reflection is fiberwise over the pointwise ordered resonance extensions of one fixed incidence skeleton; the carrier-changing categorical extension is stated separately in spine 33.
33	Global resonance-saturation adjunction	IC122-global-resonance-category;IC123-global-saturation-functor;IC124-global-saturation-unit-idempotence;IC125-global-saturation-adjunction;IC126-global-saturation-unique-factorization;IC127-global-saturation-carrier-change-witness	Carrier and cell type may vary, but the role type is fixed; morphisms must preserve unit, selected glue, boundary occurrences, resonance, and bisimulation. No role-changing or boundary-reflecting maps are claimed.
34	Role-changing exact-boundary saturation adjunction	IC128-role-changing-exact-boundary-category;IC129-role-changing-saturation-functor;IC130-role-changing-saturation-idempotence;IC131-role-changing-saturation-adjunction;IC132-role-changing-saturation-factorization;IC133-role-changing-nontrivial-witness	Morphisms may change carrier, role, and cell type and reflect membership only for mapped boundary occurrences; essential surjectivity onto all target boundary occurrences is not required.
35	Globally boundary-surjective saturation adjunction	IC134-boundary-surjective-category;IC135-boundary-surjective-saturation-functor;IC136-boundary-surjective-idempotence;IC137-boundary-surjective-adjunction;IC138-boundary-surjective-factorization;IC139-boundary-surjective-nontrivial-witness	Every target boundary occurrence must have a source object/occurrence preimage, but target cells with empty boundary need not lie in the carrier map image; carrier surjectivity is not claimed.
36	Carrier-and-boundary-surjective saturation adjunction	IC140-carrier-surjective-category;IC141-carrier-surjective-saturation-functor;IC142-carrier-surjective-idempotence;IC143-carrier-surjective-adjunction;IC144-carrier-surjective-factorization;IC145-carrier-surjective-nontrivial-witness	Morphisms must cover every target carrier point and boundary occurrence but need not be injective; this is the strongest morphism class currently formalized, not a claim that weaker classes are invalid.
37	Saturation internal-logic conservativity	IC146-saturation-positive-logic-preservation;IC147-saturation-full-logic-conservativity;IC148-saturation-invariance-conservativity;IC149-saturation-internal-logic-completeness;IC150-saturation-logic-strict-witness;IC151-saturation-incproof-positive-preservation;IC152-saturation-incproof-conservativity	The unconditional result is one-way preservation for the implication-free positive fragment; full preservation/reflection, including implication, is equivalent to source quotient congruence. IncProof results require the stated semantic-agreement hypotheses.
38	Dependent-calculus saturation conservativity	IC153-dependent-saturation-completion-transfer;IC154-dependent-saturation-resonance-fixed;IC155-dependent-saturation-renaming-preservation;IC156-dependent-saturation-substitution-preservation;IC157-dependent-saturation-semantic-interpreter;IC158-dependent-saturation-semantic-soundness;IC159-dependent-saturation-nat-witness	The theorem transfers an existing normalized completion, which already assumes associativity and quotient congruence; saturation does not manufacture those laws for an arbitrary resonance. The IncDepCompletionModel interpreter is incidence-independent and is retained exactly.
39	Associative saturation completion	IC160-saturation-resonance-spec-preservation;IC161-saturation-associativity-preservation;IC162-saturatable-dependent-completion;IC163-saturatable-dependent-completion-construction;IC164-bool-trivial-transport-associativity;IC165-bool-trivial-noncongruence;IC166-bool-trivial-strict-associative-saturation	Associativity preservation requires source mode transport along bisimilar inputs; it is not claimed for arbitrary associative resonance. The strict Bool example has total bisimulation and gains output modes under saturation.
40	Exact quotient-associativity criterion	IC167-quotient-resonance-associativity;IC168-saturation-associativity-exact-criterion;IC169-quotient-associativity-to-saturation;IC170-transport-implies-quotient-associativity;IC171-quotient-associative-dependent-completion;IC172-quotient-associative-completion-construction	The exact criterion is associativity of the existential quotient relation; mode transport is only a sufficient source-level hypothesis. Quotient associativity may be stated directly even when source resonance does not descend exactly.
41	Saturation-associativity obstruction classification	IC173-saturation-associativity-obstruction;IC174-saturation-associativity-obstruction-completeness;IC175-quotient-associativity-obstruction-completeness;IC176-finite-associativity-obstruction-table;IC177-finite-associativity-obstruction-decision;IC178-bool-associativity-obstruction-empty	The finite table is defined noncomputably using classical decidability; it is a complete finite certificate theorem, not yet a native executable enumerator or minimized orbit classification.
42	Executable associativity-obstruction decision	IC179-executable-saturation-checker-interface;IC180-executable-saturation-checker-correctness;IC181-executable-associativity-chain-checkers;IC182-executable-associativity-obstruction-checker;IC183-executable-associativity-obstruction-table;IC184-executable-associativity-decision;IC185-bool-native-associativity-decision	Execution requires user-supplied exact Boolean checkers for source bisimulation and resonance. The table is not yet quotiented by automorphisms or support-minimized.
43	Ternary interaction representation	IC186-free-unit-interaction-incidence;IC187-ternary-interaction-exact-data;IC188-ternary-interaction-functor;IC189-ternary-interaction-faithful;IC190-ternary-interaction-recovery	The theorem represents arbitrary small ternary relational systems, not arbitrary categories or dependent type theories. Boundaries and cell types are trivial in this first representation; fullness into all structured Incidence maps is not claimed.
44	Small-category composition representation	IC191-category-composition-system;IC192-category-composition-exact;IC193-category-composition-functional;IC194-category-composition-associative;IC195-category-functor-composition-map;IC196-category-incidence-representation	The construction represents the arrow-composition theory of arbitrary small categories and maps functors to resonance homomorphisms. Object and hom recovery is supplied by spine 45, and scoped fullness by spine 47; higher categories are not included here.
45	Internal category recovery	IC197-category-identity-object-embedding;IC198-category-object-recovery;IC199-category-hom-fiber-recovery;IC200-category-composition-recovery;IC201-internal-category-recovery-capstone	Objects are recovered as the image of the known identity-arrow embedding and homs as known endpoint fibers. Intrinsic identity recovery is supplied by spine 46 and scoped fullness by spine 47; univalence and higher coherence are not included here.
46	Intrinsic identity and object recovery	IC202-intrinsic-category-identity-predicate;IC203-categorical-identities-intrinsic;IC204-intrinsic-identities-exact;IC205-intrinsic-object-recovery;IC206-intrinsic-category-recovery-capstone	The identity predicate uses endpoint projections in addition to the ternary relation. It does not eliminate endpoints, prove univalence, or higher-category coherence; scoped fullness is supplied by spine 47.
47	Scoped fullness and exact functor image	IC207-functorial-category-composition-hom;IC208-functorial-hom-recovers-functor;IC209-category-composition-essential-image;IC210-category-composition-map-faithful;IC211-category-composition-scoped-fullness;IC212-category-interaction-fullness-capstone	Fullness is proved precisely for homomorphisms carrying object and hom actions satisfying identity, composition, and exact-arrow agreement. Arbitrary ternary-relation homomorphisms need not preserve endpoints or identities, so unrestricted fullness is not claimed.
48	Pure relational category recovery	IC213-pure-relational-identity;IC214-pure-relational-identity-exact;IC215-pure-intrinsic-identity-equivalence;IC216-pure-object-recovery;IC217-pure-source-identity-exact;IC218-pure-target-identity-exact;IC219-pure-endpoint-existence-uniqueness;IC220-pure-relational-hom-fiber;IC221-pure-relational-composition-recovery;IC222-pure-relational-category-recovery-capstone	The recovery predicates mention only the ternary composition relation and equality on its arrow carrier. The construction and correctness proofs still use the originating category; the abstract recognition direction is supplied separately by spine 49. This is not a univalence result.
49	Relational category recognition	IC223-relational-category-axioms;IC224-category-systems-satisfy-recognition;IC225-recognized-objects-and-homs;IC226-recognized-carrier-coverage;IC227-relational-category-construction;IC228-recognized-composition-exact;IC229-relational-category-recognition-capstone;IC230-resonance-implies-composable	The axioms are sufficient to construct a category and necessary for every represented small category composition system. Both directions of composability are required: matching endpoints produce a mode and every mode has matching endpoints. The explicit system round trip is supplied by spine 50; axiom independence/minimality, univalence, and higher coherence are not proved.
50	Relational category system round trip	IC231-recognized-arrow-encoding;IC232-recognized-arrow-decoding;IC233-recognized-arrow-roundtrip;IC234-recognized-arrow-equivalence;IC235-recognized-composite-resonant;IC236-roundtrip-relation-exact;IC237-relational-category-system-isomorphism;IC238-relational-category-roundtrip-capstone	The isomorphism is between ternary resonance systems and uses classical choice to select the unique endpoint identities and composites. It does not claim an equivalence of categories of all models and morphisms, axiom minimality, univalence, or higher coherence.
51	Functorial relational category reconstruction	IC239-recognized-ternary-objects;IC240-recognized-ternary-morphisms;IC241-recognized-system-category;IC242-recognized-endpoint-preservation;IC243-recognized-morphism-functor;IC244-reconstruction-identity-exact;IC245-reconstruction-composition-exact;IC246-roundtrip-encoding-natural;IC247-relational-category-functoriality-capstone	Morphisms are required to preserve both resonance and pure identities; bare relation homomorphisms do not suffice. Reconstruction is functorial on every hom and the round-trip maps are natural. The single Cat-valued functor is supplied by spine 52; a bundled categorical equivalence is not claimed.
52	Cat-valued reconstruction functor	IC248-recognized-reconstructed-cat;IC249-category-reconstruction-functor;IC250-category-reconstruction-object-exact;IC251-category-reconstruction-map-exact;IC252-category-reconstruction-map-components;IC253-category-reconstruction-functor-capstone	The functor is universe-explicit from recognized ternary systems to mathlib `Cat` and packages the previously checked homwise construction. The inverse-direction functor is supplied by spine 53; natural isomorphisms of the composites and a categorical equivalence are not included here.
53	Category recognition inverse-direction functor	IC254-category-to-recognized-object;IC255-functor-to-recognized-morphism;IC256-category-recognition-map-identity;IC257-category-recognition-map-composition;IC258-category-recognition-functor;IC259-category-recognition-functor-capstone	This is the inverse-direction functor from mathlib `Cat` to recognized ternary systems. The recognized-side natural isomorphism is supplied by spine 54; the Cat-side natural isomorphism and categorical equivalence are not included here.
54	Recognized-system round-trip natural isomorphism	IC260-encode-preserves-pure-identities;IC261-decode-preserves-pure-identities;IC262-recognized-roundtrip-component-hom;IC263-recognized-roundtrip-component-iso;IC264-recognized-roundtrip-natural-iso;IC265-recognized-roundtrip-natural-iso-capstone	This proves the recognized-system-side natural isomorphism `𝟭 ≅ reconstruction ⋙ recognition`. The Cat-side natural isomorphism and the final categorical equivalence are not included.
55	Category round-trip equivalence	IC266-category-roundtrip-canonical-functor;IC267-category-roundtrip-faithful;IC268-category-roundtrip-full;IC269-category-roundtrip-essentially-surjective;IC270-category-roundtrip-is-equivalence;IC271-category-roundtrip-equivalence;IC272-category-roundtrip-equivalence-capstone	For every Cat object, the original category is equivalent to its reconstructed category via a full, faithful, essentially surjective canonical functor. Functor naturality is supplied by spine 56; a strict Cat-valued natural isomorphism and global 1-categorical equivalence are not included here.
56	Category round-trip functor naturality	IC273-category-roundtrip-mapped-functor;IC274-category-roundtrip-object-naturality;IC275-category-roundtrip-functor-naturality;IC276-category-roundtrip-map-naturality;IC277-category-roundtrip-naturality-capstone	The canonical full/faithful/essential-surjective functors commute exactly with every original functor on objects and homs. This is a naturality square of category equivalences, not yet a natural isomorphism in the 1-category Cat; the distinction between categorical equivalence and strict Cat isomorphism remains explicit.
57	Relational-category comparison capstone	IC278-relational-category-comparison-data;IC279-relational-category-comparison-instance;IC280-comparison-encode-component-exact;IC281-comparison-decode-component-exact;IC282-comparison-cat-full;IC283-relational-category-comparison-capstone	The package contains both directional functors, a recognized-side natural isomorphism, Cat-side objectwise equivalences, and exact naturality squares. It is deliberately not declared as a 1-categorical equivalence between model categories because Cat isomorphism is stricter than equivalence of categories; a native bicategorical pseudonatural-equivalence package remains future work.
58	Dependent judgment interaction representation	IC284-dependent-judgment-system;IC285-dependent-formation-exact;IC286-dependent-typing-exact;IC287-dependent-renaming-hom;IC288-dependent-renaming-functorial;IC289-dependent-incidence-exact;IC290-dependent-judgment-recoverable;IC291-dependent-judgment-representation-capstone	For each fixed raw context, formation and typing judgments are represented exactly and derivation-preserving renamings act functorially. This is a faithful representation of the existing raw Pi/Sigma/Identity calculus, not a sound-and-complete internal language for arbitrary ResonanceSpec models.
59	General resonance-law internal language	IC292-general-resonance-law-axioms;IC293-general-resonance-law-models;IC294-law-axiom-model-characterization;IC295-physical-law-axiom-satisfaction;IC296-resonance-spec-logical-characterization;IC297-general-resonance-law-derivability;IC298-general-resonance-law-soundness;IC299-general-resonance-internal-language-capstone	The axiom schema and soundness theorem work over arbitrary carriers without finite enumeration. They characterize the first-order-free propositional content of ResonanceSpec exactly, but strong Kripke completeness for the potentially infinite schema is not claimed.
60	General resonance-law Kripke semantics	IC300-kripke-resonance-law-model;IC301-law-axioms-kripke-forced;IC302-general-resonance-kripke-entailment;IC303-general-resonance-kripke-soundness;IC304-strong-completeness-countermodel-gate;IC305-general-resonance-kripke-capstone	Kripke soundness holds for the full potentially infinite schema without carrier enumeration. Strong completeness is not claimed: it is proved equivalent to the explicit remaining gate of constructing one lawful Kripke countermodel for every nonderivable formula.
61	Countable infinite-schema strong completeness	IC306-law-schema-finite-support;IC307-law-schema-deductive-closure;IC308-law-schema-avoidance-prime-theory;IC309-law-schema-relative-prime-extension;IC310-law-canonical-cone;IC311-law-canonical-cone-truth;IC312-law-canonical-cone-lawful;IC313-law-schema-canonical-countermodels;IC314-law-schema-strong-completeness;IC315-law-schema-strong-completeness-capstone	Strong Kripke completeness holds for arbitrary finite or infinite resonance carriers whose resonance-atom language has CountableAtomCoding. The proof does not establish an enumeration-free completeness theorem for uncountable atom languages.
62	Enumeration-free resonance-law completeness	IC316-zorn-chain-finite-bound;IC317-zorn-maximal-finitary-extension;IC318-maximal-extension-closure;IC319-maximal-extension-prime;IC320-enumeration-free-relative-prime-extension;IC321-enumeration-free-implication-extension;IC322-enumeration-free-truth-lemma;IC323-enumeration-free-propositional-completeness;IC324-enumeration-free-law-countermodels;IC325-enumeration-free-law-completeness;IC326-enumeration-free-law-capstone	Zorn-based prime extension removes CountableAtomCoding and proves strong completeness for arbitrary same-universe atom types and resonance carriers. The construction is classical and depends on choice; it does not claim predicative or choice-free completeness.
63	Dependent judgment proof-theoretic semantics	IC327-dependent-judgment-model;IC328-dependent-judgment-soundness;IC329-dependent-syntactic-model;IC330-dependent-syntactic-exactness;IC331-dependent-syntactic-leastness;IC332-dependent-syntactic-renaming;IC333-dependent-syntactic-substitution;IC334-dependent-soundness-completeness-capstone	Soundness holds for every predicate model closed under the raw inference rules, and the syntactic model is exact, least, and stable under renaming and substitution. This is proof-theoretic term-model completeness, not extensional set-valued, CwF, categorical, normalization, or equality completeness.
64	Dependent contextual-category comprehension	IC335-dependent-context-objects;IC336-extensional-raw-substitutions;IC337-substitution-category-laws;IC338-dependent-type-reindexing;IC339-dependent-reindexing-functoriality;IC340-dependent-context-extension;IC341-dependent-display-generic;IC342-dependent-contextual-category-capstone;IC343-dependent-comprehension-pairing;IC344-dependent-comprehension-universal	Well-formed contexts and proof-erased well-typed substitutions form a strict category; raw types reindex functorially, and context extension has display projection, generic variable, and unique substitution pairing. A fully bundled CwF with well-formed type and term presheaves remains separate.
65	Dependent type-and-term presheaves and terminal residual	IC345-dependent-extensional-types;IC346-dependent-type-reindexing-presheaf;IC347-dependent-extensional-typed-terms;IC348-dependent-term-reindexing-presheaf;IC349-dependent-typing-fiber-naturality;IC350-empty-context-junk-substitution;IC351-empty-context-not-terminal-witness;IC352-dependent-presheaf-capstone	Well-formed types and total typed terms reindex strictly and contravariantly, with natural type projection. Because substitutions retain unconstrained Nat components, the empty context has distinct identity and constant-unit endomorphisms and is not terminal; a full CwF requires finite-context extensionalization or normalized substitutions.
66	Dependent scoped syntax and finite-support substitution	IC353-dependent-scoped-syntax;IC354-dependent-lookup-bound;IC355-dependent-formation-scope;IC356-dependent-typing-scope;IC357-dependent-type-substitution-extensional;IC358-dependent-term-substitution-extensional;IC359-dependent-scoped-syntax-capstone	Formation and typing derivations bound every de Bruijn variable by context length. Consequently substitutions agreeing on the finite context act identically on all well-formed types and well-typed terms. This supplies the congruence needed for the corrected quotient category.
67	Finite-support context quotient and terminal object	IC360-finite-substitution-equivalence;IC361-finite-substitution-composition;IC362-finite-substitution-quotient-laws;IC363-finite-context-category;IC364-finite-empty-terminal;IC365-finite-context-category-capstone	Substitutions are quotiented by agreement on actual target variables; composition descends using scopedness, and the quotient forms a strict category whose empty context is terminal. Type and term presheaves have not yet been descended from the representative category to this quotient category.
68	Finite-support type and typed-term presheaves	IC366-finite-type-presheaf;IC367-finite-type-presheaf-laws;IC368-finite-typed-term-presheaf;IC369-finite-typed-term-laws;IC370-finite-typing-naturality;IC371-finite-presheaf-capstone	Well-formed types and total typed terms descend to the corrected quotient category independently of representatives. Both satisfy strict identity and composition laws, and the typed-term projection is natural. Terms are currently represented by their total space rather than a separately bundled fiber over each type.
69	Finite-support comprehension universality	IC372-finite-context-extension;IC373-finite-display-projection;IC374-finite-generic-term;IC375-finite-comprehension-pairing;IC376-finite-comprehension-equations;IC377-finite-comprehension-unique;IC378-finite-comprehension-capstone	Context extension, display projection, generic term, substitution pairing, both defining equations, and uniqueness descend to the corrected quotient category. Together with spines 67–68 this supplies all semantic data of a syntactic CwF; the explicit dependent term-fiber package is supplied by spine 70.
70	Bundled finite syntactic category with families	IC379-finite-dependent-term-fiber;IC380-finite-dependent-term-reindex;IC381-finite-dependent-term-laws;IC382-finite-generic-fiber;IC383-finite-fiber-pairing;IC384-finite-fiber-pairing-equations;IC385-finite-fiber-pairing-unique;IC386-finite-syntactic-cwf-capstone	Terms are explicit fibers over the type presheaf, reindex dependently, and connect to the generic term and universal pairing. One certificate combines terminal context, Ty/Tm substitution, and split comprehension. This is a syntactic CwF; a CwF morphism into the existing set-valued semantics is separate.
71	Completed-fragment CwF semantic comparison	IC387-completed-cwf-context-embedding;IC388-completed-cwf-type-embedding;IC389-completed-cwf-term-embedding;IC390-cwf-semantic-completion-gate;IC391-completed-cwf-set-interpretation;IC392-completed-cwf-identity-coherence;IC393-completed-cwf-comparison-capstone	Fully coherent completed judgments embed conservatively into the finite syntactic CwF and carry set-valued interpretations coherent with identity substitution. This is a judgment-level comparison on the completed fragment, not a CwF morphism on all raw judgments; general substitution and comprehension naturality remain separate.
72	Completed-fragment substitution naturality	IC394-completed-semantic-substitution;IC395-completed-finite-substitution;IC396-completed-reindex-syntax-exact;IC397-completed-interpret-along-substitution;IC398-completed-substitution-naturality;IC399-completed-substitution-coverage-gate;IC400-completed-substitution-capstone	For every completed judgment and semantically realized raw substitution, finite-CwF reindexing is raw substitution exactly and the set-valued interpretation commutes with that substitution. Existence of semantic realizations for all raw substitutions and comprehension naturality remain explicit gates; a whole-CwF morphism is not claimed.
73	Completed-fragment comprehension naturality	IC401-completed-context-extension-comparison;IC402-completed-context-extension-instance;IC403-completed-context-extension-raw;IC404-completed-syntactic-pairing;IC405-completed-syntactic-pairing-projection;IC406-completed-syntactic-pairing-generic;IC407-completed-semantic-pairing;IC408-completed-semantic-pairing-projection;IC409-completed-semantic-pairing-variable;IC410-completed-comprehension-transport;IC411-completed-comprehension-capstone	Corresponding syntactic and set-valued extensions and pairings are constructed from the same completed judgment and semantic substitution. Projection and generic equations hold on both sides, and the semantic generic component equals the transported interpretation of the syntactically substituted term. Global judgment completion and semantic-substitution coverage remain required for a whole-CwF morphism.
74	Whole-CwF morphism readiness boundary	IC412-completed-identity-semantic-substitution;IC413-completed-identity-semantic-map;IC414-completed-identity-coverage;IC415-whole-cwf-morphism-readiness;IC416-whole-cwf-readiness-constructor;IC417-whole-cwf-readiness-exact;IC418-whole-cwf-boundary-capstone	Every completed judgment now has a canonical semantic realization of identity substitution. All local judgment, substitution, and comprehension laws are packaged with an exact iff: total promotion requires precisely completion of every finite-CwF term and semantic realization of every raw substitution. These two global coverage statements are not proved here, so a total CwF morphism is not claimed.
75	Completed display-projection semantics	IC419-raw-display-projection;IC420-raw-display-projection-components;IC421-completed-projection-source;IC422-completed-projection-realization;IC423-completed-projection-semantic-map;IC424-completed-projection-replacements;IC425-completed-projection-finite-exact;IC426-completed-projection-capstone	Every completed display type now canonically realizes the nonidentity raw projection substitution. Its semantic map is the set-valued Sigma projection, its replacements are weakened semantic lookups, and its finite-support class is exactly the syntactic CwF display projection. Arbitrary substitution coverage and global judgment completion remain open.
76	Semantic-substitution composition and finite functoriality	IC427-raw-substitution-composition;IC428-raw-substitution-composition-components;IC429-semantic-substitution-composition;IC430-semantic-substitution-composition-map;IC431-semantic-replacement-composition;IC432-target-independent-semantic-substitution;IC433-target-independent-finite-substitution;IC434-completed-to-target-independent-realization;IC435-completed-semantic-composition;IC436-completed-semantic-composition-finite-exact;IC437-semantic-substitution-composition-capstone	Raw substitutions and their semantic maps and replacements compose, and completed realizations are closed under precomposition by target-independent realizations. The induced finite-support morphism is exactly categorical composition. This closure theorem does not construct a realization for every raw substitution, so arbitrary substitution coverage and global judgment completion remain open.
77	Completed-term semantic pairing realization	IC438-completed-raw-comprehension-pair;IC439-completed-raw-pair-head;IC440-completed-raw-pair-tail;IC441-completed-semantic-pair-realization;IC442-completed-semantic-pair-map;IC443-completed-semantic-pair-finite-exact;IC444-completed-semantic-pair-capstone	A realized base substitution and completed target term canonically produce a target-independent semantic realization of their raw comprehension pairing. Its semantic map is set-valued Sigma pairing and its finite-support class is exactly the syntactic CwF pairing. An arbitrary substitution head need not be the reindexing of a completed target term, so this theorem does not by itself prove global substitution coverage.
78	General source-side semantic pairing realization	IC445-general-semantic-pairing-head;IC446-general-semantic-pairing-extension;IC447-general-semantic-pairing-target-semantics;IC448-general-raw-pairing;IC449-general-raw-pairing-head;IC450-general-raw-pairing-tail;IC451-general-semantic-pairing-realization;IC452-general-semantic-pairing-projection;IC453-general-semantic-pairing-variable;IC454-general-semantic-pairing-finite-type;IC455-general-semantic-pairing-finite-exact;IC456-general-semantic-pairing-capstone	An arbitrary well-typed source-side head extends any realized base substitution once semantic formation transport and a source semantic term are supplied. The resulting target-independent realization satisfies semantic projection and generic equations and recovers exactly the quotient-CwF pairing. Global coverage is reduced to supplying these explicit formation and typing semantic data uniformly; that supply theorem is not claimed here.
79	Canonical raw-substitution pairing decomposition	IC457-raw-substitution-tail;IC458-raw-substitution-tail-components;IC459-raw-substitution-head-typing;IC460-proof-relevant-raw-pair;IC461-proof-relevant-raw-pair-head;IC462-proof-relevant-raw-pair-tail;IC463-raw-substitution-component-decomposition;IC464-raw-substitution-proof-erased-decomposition;IC465-raw-substitution-tail-finite;IC466-raw-substitution-target-finite-type;IC467-raw-substitution-finite-pair-decomposition;IC468-raw-substitution-decomposition-capstone	Every substitution into an extended target canonically decomposes into its tail and newest well-typed component. Components agree exactly, proof-erased substitutions are equal, and the finite quotient class is exactly the CwF pairing. Raw substitutions retain proof-relevant derivations, so unrestricted Leibniz equality before proof erasure is intentionally not asserted. Semantic coverage is thereby reduced recursively to semantic data for the head components.
